Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogó³em z³
1;dolnoœl¹skie;boles³awiecki;Gmina;Boles³awiec;Golnice;Budowa boiska sportowego;87 800,00 z³
2;dolnoœl¹skie;boles³awiecki;Gmina;Warta Boles³awiecka;Jurków;Budowa boiska wielofunkcyjnego;75 000,00 z³
3;dolnoœl¹skie;œredzki;Gmina;Miêkinia;Ga³ów, ul. Sportowa;Budowa boiska wielofunkcyjnego;130 000,00 z³
4;dolnoœl¹skie;oleœnicki;Miasto;Oleœnica;Oleœnica, ul. Brzozowa 5;Modernizacja boiska pi³karskiego, bie¿ni lekkoatletycznej oraz terenowych urz¹dzeñ sportowych;1 100 000,00 z³
5;dolnoœl¹skie;œwidnicki;Gmina;Strzegom;Strzegom, ul. Mickiewicza 2;Przebudowa boiska pi³karskiego, bie¿ni lekkoatletycznej i terenowych urz¹dzeñ sportowych;1 293 500,00 z³
6;dolnoœl¹skie;strzeliñski;Gmina;Strzelin;Bia³y Koœció³, ul. Kamienna 18;Budowa sali gimnastycznej;804 400,00 z³
7;dolnoœl¹skie;legnicki;Gmina Miejska;Chojnów;Chojnów, ul. Kusociñskiego 1;Budowa, modernizacja kompleksu lekkoatletycznego, boiska pi³karskiego;331 500,00 z³
8;dolnoœl¹skie;legnicki;Gmina Miejska;Chojnów;Chojnów, ul. Kiliñskiego 23;Remont Sali gimnastycznej wraz z zapleczem;140 000,00 z³
9;dolnoœl¹skie;górowski;Gmina;Góra;Góra, ul. Sportowa 1;Rozbudowa obiektu lekkoatletycznego;200 000,00 z³
10;dolnoœl¹skie;górowski;Gmina;Góra;Góra, ul. Mickiewicza 4;Przebudowa basenu odkrytego;818 800,00 z³
11;dolnoœl¹skie;trzebnicki;Gmina;Trzebnica;Trzebnica, ul. M. Konopnickiej 14;Budowa boiska wielofunkcyjnego, bie¿ni lekkoatletycznej i skoczni do skoku w dal;282 000,00 z³
12;dolnoœl¹skie;z¹bkowicki;Gmina;Z¹bkowice Œl¹skie;Z¹bkowice Œl¹skie, ul. Kusociñskiego;Budowa skateparku;214 300,00 z³
13;dolnoœl¹skie;z¹bkowicki;Powiat;Z¹bkowicki;Z¹bkowice Œl¹skie, ul. Powstañców Warszawa;Budowa boiska wielofunkcyjnego;194 300,00 z³
