Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
1;dolnośląskie;bolesławiecki;Gmina;Bolesławiec;Kraszowice;Budowa boiska wielofunkcyjnego;80 000,00
2;dolnośląskie;bolesławiecki;Gmina;Bolesławiec;Mierzwin;Budowa boiska wielofunkcyjnego;80 000,00
3;dolnośląskie;bolesławiecki;Gmina;Nowogrodziec;Gierałtów, Gierałtów 47;Budowa sali gimnastycznej;660 000,00
4;dolnośląskie;bolesławiecki;Gmina Miejska;Bolesławiec;Bolesławiec, oś. Przylesie;Budowa boiska piłkarskiego i boiska wielofunkcyjnego wraz z siłownią zewnętrzną;470 000,00
5;dolnośląskie;bolesławiecki;Powiat;Bolesławiecki;Bolesławiec, al. Tysiąclecia 51;Przebudowa boiska wielofunkcyjnego;90 000,00
6;dolnośląskie;bolesławiecki;Powiat;Bolesławiecki;Bolesławiec, ul. Komuny Paryskiej 6;Modernizacja boiska piłkarskiego i boiska wielofunkcyjnego, bieżni lekkoaletycznej i terenowych urządzeń sportowych;1 000 000,00
7;dolnośląskie;dzierżoniowski;Gmina Miejska;Dzierżoniów;Dzierżoniów, ul. Sikorskiego;Budowa siłowni zewnętrznej i dwóch placów zabaw;384 300,00
8;dolnośląskie;dzierżoniowski;Powiat;Dzierżoniowski;Bielawa, ul. Szkolna 5;Budowa boiska wielofunkcyjnego, siłowni zewętrznej i urządzeń lekkoatletycznych;229 700,00
9;dolnośląskie;głogowski;Gmina Miejska;Glogów;Głogów, ul. Gwiaździsta 2;Budowa kompleksu boisk, bieżni okrężnej 200 m i urządzeń lekkoatletycznych;837 600,00
10;dolnośląskie;głogowski;Powiat;Głogowski;Głogów, ul. Perseusza 5;Przebudowa boiska wielofunkcyjnego;445 200,00
11;dolnośląskie;jeleniogórski;Miasto;Szklarska Poręba;Szklarska Poręba, ul. Okrzei;Budowa skateparku i siłowni zewnętrznej;190 000,00
12;dolnośląskie;kamiennogórski;Gmina;Lubawka;Lubawka, ul. Przyjaciół Żołnierza 6a;Modernizacja boiska piłkarskiego i kompleksu lekkoatletycznego z bieżnią okrężną 400 m;767 300,00
13;dolnośląskie;kłodzki;Gmina;Polanica-Zdrój;Polanica-Zdrój, ul. Tadeusza Kościuszki 13;Przebudowa boiska wielofunkcyjnego;92 300,00
14;dolnośląskie;kłodzki;Gmina;Kłodzko;Krosnowice, działki 985/1, 985/9, 985/2;Budowa boiska wielofunkcyjnego wraz z urządzeniami lekkoatletycznymi;390 000,00
15;dolnośląskie;kłodzki;Gmina;Nowa Ruda;Ludwikowice Kłodzkie, ul. Wiejska 1;Budowa boiska wielofunkcyjnego;187 800,00
16;dolnośląskie;kłodzki;Gmina Miejska;Duszniki-Zdrój;Duszniki-Zdrój, al. Sybiraków;Budowa toru wrotkarskiego;615 000,00
17;dolnośląskie;kłodzki;Gmina Miejska;Duszniki-Zdrój;Duszniki-Zdrój, ul. Olimpijska;Modernizacja obiektu biathlonu zimowego i letniego;3 500 000,00
