Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
1;dolnośląskie;bolesławiecki;Gmina;Bolesławiec;Lipiany;Budowa boiska wielofunkcyjnego;87200
2;dolnośląskie;bolesławiecki;Gmina;Bolesławiec;Parkoszów;Budowa boiska wielofunkcyjnego;79500
3;dolnośląskie;bolesławiecki;Gmina;Nowogrodziec;Nowogrodziec, ul. Sienkiewicza 8;Budowa bieżni prostej 60-metrowej, skoczni w dal i rzutni do pchnięcia kulą;100000
4;dolnośląskie;dzierżoniowski;Gmina Miejska;Dzierżoniów;Dzierżoniów, ul. Sikorskiego;Rozbudowa siłowni plenerowej i placu zabaw;261700
5;dolnośląskie;dzierżoniowski;Gmina;Piława Górna;Piława Górna, ul. Kościuszki;Budowa hali sportowej;3200000
6;dolnośląskie;głogowski;Gmina;Żukowice;Nielubia;Budowa boiska wielofunkcyjnego;190000
7;dolnośląskie;górowski;Gmina;Góra;Góra, ul. Szkolna 2;"Budowa krytej pływalni ""Dolnośląski Delfinek"" wraz z kręgielnią";1289300
8;dolnośląskie;kamiennogórski;Gmina Miejska;Lubawka;Lubawka, ul. Mickiewicza 4;Budowa sali gimnastycznej;1946500
9;dolnośląskie;kłodzki;Gmina Miejska;Duszniki-Zdrój;Duszniki- Zdrój, ul. Olimpijska;Modernizacja obiektu biathlonu zimowego i letniego - etap II;5300000
10;dolnośląskie;kłodzki;Gmina Miejska;Kłodzko;Kłodzko, Plac Bolesława Chrobrego 1;Modernizacja sali gimnastycznej z zapleczem;336300
11;dolnośląskie;kłodzki;Gmina;Lewin Kłodzki;Lewin Kłodzki;Budowa bieżni prostej o dł 60 m 3-torowej, skoczni w dal i siłowni zewnętrznej - II etap;100000
12;dolnośląskie;kłodzki;Miasto i Gmina;Międzylesie;Domaszków, ul. Międzyleska 37;Budowa budynku zaplecza przy kompleksie boisk;256400
13;dolnośląskie;kłodzki;Gmina;Nowa Ruda;Bożków 89E;Dobudowa sali gimnastycznej do budynku szkoły - etap I;962300
14;dolnośląskie;kłodzki;Gmina;Stronie Śląskie;Stronie Śląskie, ul. Kościelna 12;Budowa sali gimnastycznej;915200
15;dolnośląskie;legnicki;Gmina;Legnica;Legnica, ul. Głogowska 50;Budowa modernizacja boiska wielofunkcyjnego i modernizacja sali gimnastycznej;287700
16;dolnośląskie;lubański;Gmina;Leśna;Pobiedna, ul. Hetmańska;Budowa boiska wielofunkcyjnego;130000
17;dolnośląskie;lubański;Gmina Miejska;Lubań;Lubań, ul. Mickiewicza 1;Budowa boiska wielofunkcyjnego, bieżni prostej o dł. 60 m, skoczni do skoku w dal oraz rzutni do pchnięcia kulą;143900
18;dolnośląskie;lubiński;Powiat;Lubiński;Szklary Górne 51c;Budowa boiska wielofunkcyjnego;151100
